id,uu_id,bab,konten_bab,bagian,nama_bagian,pasal,context,context_number,content,halaman,kategori
1,uu_06_2023,IV,KETENAGAKERJAAN,,,,BAB,IV,KETENAGAKERJAAN,538,
2,uu_06_2023,IV,KETENAGAKERJAAN,,,,Bagian,Kesatu,Umum,538,
3,uu_06_2023,IV,KETENAGAKERJAAN,Kesatu,Umum,80,Pasal,80,"Dalam rangka penguatan perlindungan kepada tenaga kerja dan meningkatkan peran dan kesejahteraan pekerja/buruh dalam mendukung ekosistem investasi, Peraturan Pemerintah Pengganti Undang-Undang ini mengubah, menghapus, atau menetapkan pengaturan baru beberapa ketentuan yang diatur dalam:
a. Undang-Undang Nomor 13 Tahun 2003 tentang Ketenagakerjaan (Lembaran Negara Republik Indonesia Tahun 2003 Nomor 39, Tambahan Lembaran Negara Republik Indonesia Nomor 4279;
b. Undang-Undang Nomor 40 Tahun 2004 tentang Sistem Jaminan Sosial Nasional (Lembaran Negara Republik Indonesia Tahun 2004 Nomor 150, Tambahan Lembaran Negara Republik Indonesia Nomor 4456;
c. Undang-Undang Nomor 24 Tahun 2011 tentang Badan Penyelenggara Jaminan Sosial (Lembaran Negara Republik Indonesia Tahun 2011 Nomor 116, Tambahan Lembaran Negara Republik Indonesia Nomor 5256); dan
d. Undang-Undang Nomor 18 Tahun 2017 tentang Pelindungan Pekerja Migran Indonesia (Lembaran Negara Republik Indonesia Tahun 2017 Nomor 242, Tambahan Lembaran Negara Republik Indonesia Nomor 6141).",538,
4,uu_06_2023,IV,KETENAGAKERJAAN,Kesatu,Umum,80,Bagian,Kedua,Ketenagakerjaan,539,
5,uu_06_2023,IV,KETENAGAKERJAAN,Kedua,Ketenagakerjaan,81,Pasal,81,"Beberapa ketentuan dalam Undang-Undang Nomor 13 Tahun 2003 tentang Ketenagakerjaan (Lembaran Negara Republik Indonesia Tahun 2003 Nomor 39, Tambahan Lembaran Negara Republik Indonesia Nomor 4279) diubah sebagai berikut:",539,
6,uu_06_2023,IV,KETENAGAKERJAAN,Kedua,Ketenagakerjaan,81,Ayat,1,"Ketentuan Pasal 13 diubah sehingga berbunyi sebagai berikut: Pasal 13
(1) Pelatihan Kerja diselenggarakan oleh: lembaga Pelatihan Kerja pemerintah; lembaga Pelatihan Kerja swasta; atau lembaga Pelatihan Kerja Perusahaan.
(2) Pelatihan Kerja dapat diselenggarakan di tempat pelatihan atau tempat kerja.
(3) Lembaga Pelatihan Kerja pemerintah sebagaimana dimaksud pada ayat (1) huruf a dalam menyelenggarakan Pelatihan Kerja dapat bekerja sama dengan swasta.
(4) Lembaga Pelatihan Kerja pemerintah sebagaimana dimaksud pada ayat (1) huruf a dan lembaga Pelatihan Kerja Perusahaan sebagaimana dimaksud pada ayat (1) huruf c mendaftarkan kegiatannya kepada instansi yang bertanggung jawab di bidang Ketenagakerjaan di kabupaten/kota.",539,Pelatihan Kerja
7,uu_06_2023,IV,KETENAGAKERJAAN,Kedua,Ketenagakerjaan,81,Ayat,2,"Ketentuan Pasal 14 diubah sehingga berbunyi sebagai berikut: Pasal 14
(1) Lembaga Pelatihan Kerja swasta sebagaimana dimaksud dalam Pasal 13 ayat (1) huruf b wajib memenuhi Perizinan Berusaha yang diterbitkan oleh Pemerintah Daerah kabupaten/kota.",539,Pelatihan Kerja
8,uu_06_2023,IV,KETENAGAKERJAAN,Kedua,Ketenagakerjaan,81,Ayat,2,"(2) Bagi lembaga Pelatihan Kerja swasta yang terdapat penyertaan modal asing, Perizinan Berusaha sebagaimana dimaksud pada ayat (1) diterbitkan oleh Pemerintah Pusat.
(3) Perizinan Berusaha sebagaimana dimaksud pada ayat (1) dan ayat (2) harus memenuhi norma, standar, prosedur, dan kriteria yang ditetapkan oleh Pemerintah Pusat.",540,Pelatihan Kerja
9,uu_06_2023,IV,KETENAGAKERJAAN,Kedua,Ketenagakerjaan,81,Ayat,3,"Ketentuan Pasal 37 diubah sehingga berbunyi sebagai berikut: Pasal 37
(1) Pelaksana penempatan Tenaga Kerja sebagaimana dimaksud dalam Pasal 35 ayat (1) terdiri atas: a. instansi pemerintah yang bertanggung jawab di bidang Ketenagakerjaan; dan b. lembaga penempatan Tenaga Kerja swasta.
(2) Lembaga penempatan Tenaga Kerja swasta sebagaimana dimaksud pada ayat (1) huruf b dalam melaksanakan Pelayanan Penempatan Tenaga Kerja wajib memenuhi Perizinan Berusaha yang diterbitkan oleh Pemerintah Pusat.
(3) Perizinan Berusaha sebagaimana dimaksud pada ayat (2) harus memenuhi norma, standar, prosedur, dan kriteria yang ditetapkan oleh Pemerintah Pusat.",540,Penempatan Tenaga Kerja
10,uu_06_2023,IV,KETENAGAKERJAAN,Kedua,Ketenagakerjaan,81,Ayat,4,"Ketentuan Pasal 42 diubah sehingga berbunyi sebagai berikut: Pasal 42 (1) Setiap Pemberi Kerja yang mempekerjakan Tenaga Kerja Asing wajib memiliki rencana penggunaan Tenaga Kerja Asing yang disahkan oleh Pemerintah Pusat.
(2) Pemberi Kerja orang perseorangan dilarang mempekerjakan Tenaga Kerja Asing.",540,Penggunaan Tenaga Kerja Asing
