halaman,context,context_number
538,BAB,IV
538,Bagian,Kesatu
538,Pasal,80
539,Bagian,Kedua
539,Pasal,81
539,Ayat,1
539,Ayat,2
540,Ayat,2
540,Ayat,3
540,Ayat,4
541,Ayat,4
541,Ayat,5
541,Ayat,6
541,Ayat,7
542,Ayat,7
542,Ayat,8
542,Ayat,9
542,Ayat,10
542,Ayat,11
543,Ayat,12
543,Ayat,13
543,Ayat,14
544,Ayat,14
544,Ayat,15
545,Ayat,16
545,Ayat,17
546,Ayat,17
546,Ayat,18
546,Ayat,19
546,Ayat,20
547,Ayat,20
547,Ayat,21
547,Ayat,22
548,Ayat,23
548,Ayat,24
549,Ayat,24
549,Ayat,25
550,Ayat,25
550,Ayat,26
550,Ayat,27
551,Ayat,28
552,Ayat,28
553,Ayat,28
553,Ayat,29
553,Ayat,30
553,Ayat,31
554,Ayat,31
554,Ayat,32
554,Ayat,33
555,Ayat,34
555,Ayat,35
555,Ayat,36
556,Ayat,37
556,Ayat,38
556,Ayat,39
556,Ayat,40
557,Ayat,40
557,Ayat,41
557,Ayat,42
557,Ayat,43
558,Ayat,43
559,Ayat,43
559,Ayat,44
559,Ayat,45
560,Ayat,45
561,Ayat,45
561,Ayat,46
561,Ayat,47
562,Ayat,47
563,Ayat,47
563,Ayat,48
564,Ayat,48
565,Ayat,50
565,Ayat,51
565,Ayat,52
566,Ayat,52
566,Ayat,53
566,Ayat,54
566,Ayat,55
566,Ayat,56
566,Ayat,57
566,Ayat,58
566,Ayat,59
566,Ayat,60
566,Ayat,61
566,Ayat,62
566,Ayat,63
566,Ayat,64
566,Ayat,65
566,Ayat,66
567,Ayat,66
567,Ayat,67
567,Ayat,68
567,Ayat,69
568,Ayat,69
568,Ayat,70
568,Ayat,71
569,Ayat,71
569,Bagian,Ketiga
569,Pasal,82
569,Ayat,1
569,Ayat,2
570,Ayat,2
571,Ayat,2
571,Bagian,Keempat
571,Pasal,83
571,Ayat,1
572,Ayat,1
572,Ayat,2
572,Ayat,3
573,Ayat,3
573,Bagian,Kelima
573,Pasal,84
573,Ayat,1
574,Ayat,1
575,Ayat,1
576,Ayat,1
576,Ayat,2
577,Ayat,2
577,Ayat,3
577,Ayat,4
578,Ayat,4
578,Ayat,5
